Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Gripper
0.22347869944263576,0.40517275964424576,0.02066153209622604,-2.251354082146402,0.005252750632505319,2.6536440547107576,1.0205566786383429,1
0.2199593105275216,-0.03079970561621196,0.00941220192880079,-2.269993032120801,0.006963308352627142,2.241110324415961,1.0116699066097896,1
0.16368221038691658,-0.12526924413693413,-0.035481178232454606,-2.2503994862144516,0.006071986325560012,2.1252313483935974,0.9111156805434869,1
-0.09695683326560867,-0.12519204911802898,-0.057338781102970096,-2.26362449951334,8.666312161031045e-05,2.126147145589968,0.6340996677354186,1
-0.3081220065758067,-0.11754856421958922,-0.05822195451394733,-2.2589392103967643,-0.001259479048201506,2.128365236079289,0.42075648479940525,1
-0.3302445330379973,0.03334394941972478,-0.058211559415911086,-2.2488751694376106,-0.0001929583836756916,2.2614588393482125,0.39890760373750106,1
-0.3583371709841773,0.2641878682329396,-0.05668464770831665,-2.254487815658491,0.014043951782269592,2.492121212762279,0.3630633244735873,1
-0.35913648782742075,0.4275126186250464,-0.05149795053021903,-2.254112078673342,0.02059583290492751,2.6548663411080136,0.3629421809490989,1
-0.3607271355504517,0.46873949821633404,-0.04736499966773916,-2.2486755919879213,0.0228679490000043,2.6925310422513613,0.36293046299819803,1
-0.3607271355504517,0.46873949821633404,-0.04736499966773916,-2.2486755919879213,0.0228679490000043,2.6925310422513613,0.36293046299819803,1
-0.3607271355504517,0.46873949821633404,-0.04736499966773916,-2.2486755919879213,0.0228679490000043,2.6925310422513613,0.36293046299819803,1
-0.3607271355504517,0.46873949821633404,-0.04736499966773916,-2.2486755919879213,0.0228679490000043,2.6925310422513613,0.36293046299819803,0

